Person	Show Title	Episode Title	Rank	Job	Character Name
Edward Hemming	The Crown	Marionettes	07	writer	
Laura Deeley	The Crown	Marionettes	08	writer	
Claire Foy	The Crown	Matrimonium	01	actress	Queen Elizabeth II
Matt Smith	The Crown	Matrimonium	02	actor	Prince Philip, Duke of Edinburgh
Vanessa Kirby	The Crown	Matrimonium	03	actress	Princess Margaret
Victoria Hamilton	The Crown	Matrimonium	04	actress	Queen Elizabeth the Queen Mother
Benjamin Caron	The Crown	Matrimonium	05	director	
Peter Morgan	The Crown	Matrimonium	06	writer	
Edward Hemming	The Crown	Matrimonium	07	writer	
Laura Deeley	The Crown	Matrimonium	08	writer	
Claire Foy	The Crown	Misadventure	01	actress	Queen Elizabeth II
Matt Smith	The Crown	Misadventure	02	actor	Philip, Duke of Edinburgh
Vanessa Kirby	The Crown	Misadventure	03	actress	Princess Margaret
Jeremy Northam	The Crown	Misadventure	04	actor	Anthony Eden
Philip Martin	The Crown	Misadventure	05	director	
Peter Morgan	The Crown	Misadventure	06	writer	
Edward Hemming	The Crown	Misadventure	07	writer	
Laura Deeley	The Crown	Misadventure	08	writer	
Olivia Colman	The Crown	Moondust	01	actress	Queen Elizabeth II
Tobias Menzies	The Crown	Moondust	02	actor	Prince Philip, Duke of Edinburgh
Helena Bonham Carter	The Crown	Moondust	03	actress	Princess Margaret
Ben Daniels	The Crown	Moondust	04	actor	Lord Snowdon
Jessica Hobbs	The Crown	Moondust	05	director	
Peter Morgan	The Crown	Moondust	06	writer	
Jonathan Wilson	The Crown	Moondust	07	writer	
Jon Brittain	The Crown	Moondust	08	writer	
Edward Hemming	The Crown	Moondust	09	writer	
Claire Foy	The Crown	Mystery Man	01	actress	Queen Elizabeth II
Matt Smith	The Crown	Mystery Man	02	actor	Prince Philip, Duke of Edinburgh
Vanessa Kirby	The Crown	Mystery Man	03	actress	Princess Margaret
Victoria Hamilton	The Crown	Mystery Man	04	actress	Queen Elizabeth the Queen Mother
Benjamin Caron	The Crown	Mystery Man	05	director	
Peter Morgan	The Crown	Mystery Man	06	writer	
Edward Hemming	The Crown	Mystery Man	07	writer	
Laura Deeley	The Crown	Mystery Man	08	writer	
Olivia Colman	The Crown	Olding	01	actress	Queen Elizabeth II
Tobias Menzies	The Crown	Olding	02	actor	Prince Philip, Duke of Edinburgh
Helena Bonham Carter	The Crown	Olding	03	actress	Princess Margaret
Ben Daniels	The Crown	Olding	04	actor	Lord Snowdon
Benjamin Caron	The Crown	Olding	05	director	
Peter Morgan	The Crown	Olding	06	writer	
Jonathan Wilson	The Crown	Olding	07	writer	
Jon Brittain	The Crown	Olding	08	writer	
Edward Hemming	The Crown	Olding	09	writer	
Claire Foy	The Crown	Paterfamilias	01	actress	Queen Elizabeth II
Matt Smith	The Crown	Paterfamilias	02	actor	Prince Philip, Duke of Edinburgh
Finn Elliot	The Crown	Paterfamilias	03	actor	Young Prince Philip
Julian Baring	The Crown	Paterfamilias	04	actor	Prince Charles
Stephen Daldry	The Crown	Paterfamilias	05	director	
Peter Morgan	The Crown	Paterfamilias	06	writer	
Tom Edge	The Crown	Paterfamilias	07	writer	
Edward Hemming	The Crown	Paterfamilias	08	writer	
Laura Deeley	The Crown	Paterfamilias	09	writer	
Claire Foy	The Crown	Pride & Joy	01	actress	Queen Elizabeth II
Matt Smith	The Crown	Pride & Joy	02	actor	Philip, Duke of Edinburgh
Victoria Hamilton	The Crown	Pride & Joy	03	actress	Queen Elizabeth the Queen Mother
Vanessa Kirby	The Crown	Pride & Joy	04	actress	Princess Margaret
Philip Martin	The Crown	Pride & Joy	05	director	
Peter Morgan	The Crown	Pride & Joy	06	writer	
Tom Edge	The Crown	Pride & Joy	07	writer	
Edward Hemming	The Crown	Pride & Joy	08	writer	
Claire Foy	The Crown	Scientia Potentia Est	01	actress	Queen Elizabeth II
Matt Smith	The Crown	Scientia Potentia Est	02	actor	Philip, Duke of Edinburgh
Victoria Hamilton	The Crown	Scientia Potentia Est	03	actress	Queen Elizabeth the Queen Mother
Jeremy Northam	The Crown	Scientia Potentia Est	04	actor	Anthony Eden
Benjamin Caron	The Crown	Scientia Potentia Est	05	director	
Peter Morgan	The Crown	Scientia Potentia Est	06	writer	
Edward Hemming	The Crown	Scientia Potentia Est	07	writer	
Claire Foy	The Crown	Smoke and Mirrors	01	actress	Queen Elizabeth II
Matt Smith	The Crown	Smoke and Mirrors	02	actor	Philip, Duke of Edinburgh
Victoria Hamilton	The Crown	Smoke and Mirrors	03	actress	Queen Elizabeth The Queen Mother
Jared Harris	The Crown	Smoke and Mirrors	04	actor	King George VI
Philip Martin	The Crown	Smoke and Mirrors	05	director	
Peter Morgan	The Crown	Smoke and Mirrors	06	writer	
Nick Payne	The Crown	Smoke and Mirrors	07	writer	
Tom Edge	The Crown	Smoke and Mirrors	08	writer	
Edward Hemming	The Crown	Smoke and Mirrors	09	writer	
Olivia Colman	The Crown	Tywysog Cymru	01	actress	Queen Elizabeth II
Tobias Menzies	The Crown	Tywysog Cymru	02	actor	Prince Philip, Duke of Edinburgh
Helena Bonham Carter	The Crown	Tywysog Cymru	03	actress	Princess Margaret
Ben Daniels	The Crown	Tywysog Cymru	04	actor	Lord Snowdon
Christian Schwochow	The Crown	Tywysog Cymru	05	director	
Peter Morgan	The Crown	Tywysog Cymru	06	writer	
James Graham	The Crown	Tywysog Cymru	07	writer	
Jonathan Wilson	The Crown	Tywysog Cymru	08	writer	
Jon Brittain	The Crown	Tywysog Cymru	09	writer	
Edward Hemming	The Crown	Tywysog Cymru	10	writer	
Claire Foy	The Crown	Vergangenheit	01	actress	Queen Elizabeth II
Matt Smith	The Crown	Vergangenheit	02	actor	Prince Philip, Duke of Edinburgh
Victoria Hamilton	The Crown	Vergangenheit	03	actress	Queen Elizabeth the Queen Mother
Jared Harris	The Crown	Vergangenheit	04	actor	King George VI
Philippa Lowthorpe	The Crown	Vergangenheit	05	director	
Peter Morgan	The Crown	Vergangenheit	06	writer	
Edward Hemming	The Crown	Vergangenheit	07	writer	
Laura Deeley	The Crown	Vergangenheit	08	writer	
Claire Foy	The Crown	Windsor	01	actress	Queen Elizabeth II
Matt Smith	The Crown	Windsor	02	actor	Philip, Duke of Edinburgh
Victoria Hamilton	The Crown	Windsor	03	actress	Queen Elizabeth the Queen Mother
Jared Harris	The Crown	Windsor	04	actor	King George VI
Philip Martin	The Crown	Windsor	05	director	
Peter Morgan	The Crown	Windsor	06	writer	
Nick Payne	The Crown	Windsor	07	writer	
Tom Edge	The Crown	Windsor	08	writer	
Edward Hemming	The Crown	Windsor	09	writer	
Claire Foy	The Crown	Wolferton Splash	01	actress	Princess Elizabeth
Matt Smith	The Crown	Wolferton Splash	02	actor	Philip, Duke of Edinburgh
Victoria Hamilton	The Crown	Wolferton Splash	03	actress	Queen Elizabeth
Jared Harris	The Crown	Wolferton Splash	04	actor	King George VI
Stephen Daldry	The Crown	Wolferton Splash	05	director	
Peter Morgan	The Crown	Wolferton Splash	06	writer	
Edward Hemming	The Crown	Wolferton Splash	07	writer	
Keeley Hawes	The Durrells		01	actress	Louisa Durrell
Josh O'Connor	The Durrells		02	actor	Lawrence Durrell
Milo Parker	The Durrells		03	actor	Gerald Durrell
Daisy Waterstone	The Durrells		04	actress	Margo Durrell
Callum Woodhouse	The Durrells		05	actor	Leslie Durrell
Alexis Georgoulis	The Durrells		06	actor	Spiros Halikiopoulos
Yorgos Karamihos	The Durrells		07	actor	Theo Stephanides, Dr. Theo Stephanides
Anna Savva	The Durrells		08	actress	Lugaretzia
Lucy Black	The Durrells		09	actress	Florence Petridis
Ulric von der Esch	The Durrells		10	actor	Sven
Keeley Hawes	The Durrells	Episode #1.1	01	actress	Louisa Durrell
Josh O'Connor	The Durrells	Episode #1.1	02	actor	Lawrence Durrell
Milo Parker	The Durrells	Episode #1.1	03	actor	Gerald Durrell
Daisy Waterstone	The Durrells	Episode #1.1	04	actress	Margo Durrell
Steve Barron	The Durrells	Episode #1.1	05	director	
Simon Nye	The Durrells	Episode #1.1	06	writer	
Gerald Durrell	The Durrells	Episode #1.1	07	writer	
Julian Court	The Durrells	Episode #1.1	10	cinematographer	
Keeley Hawes	The Durrells	Episode #1.2	01	actress	Louisa Durrell
Josh O'Connor	The Durrells	Episode #1.2	02	actor	Lawrence Durrell
Milo Parker	The Durrells	Episode #1.2	03	actor	Gerald Durrell
Daisy Waterstone	The Durrells	Episode #1.2	04	actress	Margo Durrell
Steve Barron	The Durrells	Episode #1.2	05	director	
Simon Nye	The Durrells	Episode #1.2	06	writer	
Gerald Durrell	The Durrells	Episode #1.2	07	writer	
Julian Court	The Durrells	Episode #1.2	10	cinematographer	
Keeley Hawes	The Durrells	Episode #1.3	01	actress	Louisa Durrell
Josh O'Connor	The Durrells	Episode #1.3	02	actor	Lawrence Durrell
Milo Parker	The Durrells	Episode #1.3	03	actor	Gerald Durrell
Daisy Waterstone	The Durrells	Episode #1.3	04	actress	Margo Durrell
Steve Barron	The Durrells	Episode #1.3	05	director	
Simon Nye	The Durrells	Episode #1.3	06	writer	
Gerald Durrell	The Durrells	Episode #1.3	07	writer	
Julian Court	The Durrells	Episode #1.3	10	cinematographer	
Keeley Hawes	The Durrells	Episode #1.4	01	actress	Louisa Durrell
Josh O'Connor	The Durrells	Episode #1.4	02	actor	Lawrence Durrell
Milo Parker	The Durrells	Episode #1.4	03	actor	Gerald Durrell
Daisy Waterstone	The Durrells	Episode #1.4	04	actress	Margo Durrell
Roger Goldby	The Durrells	Episode #1.4	05	director	
Simon Nye	The Durrells	Episode #1.4	06	writer	
Gerald Durrell	The Durrells	Episode #1.4	07	writer	
James Aspinall	The Durrells	Episode #1.4	10	cinematographer	
Keeley Hawes	The Durrells	Episode #1.5	01	actress	Louisa Durrell
Josh O'Connor	The Durrells	Episode #1.5	02	actor	Lawrence Durrell
Milo Parker	The Durrells	Episode #1.5	03	actor	Gerald Durrell
Daisy Waterstone	The Durrells	Episode #1.5	04	actress	Margo Durrell
Roger Goldby	The Durrells	Episode #1.5	05	director	
Simon Nye	The Durrells	Episode #1.5	06	writer	
Gerald Durrell	The Durrells	Episode #1.5	07	writer	
James Aspinall	The Durrells	Episode #1.5	10	cinematographer	
Keeley Hawes	The Durrells	Episode #1.6	01	actress	Louisa Durrell
Josh O'Connor	The Durrells	Episode #1.6	02	actor	Lawrence Durrell
Milo Parker	The Durrells	Episode #1.6	03	actor	Gerald Durrell
Daisy Waterstone	The Durrells	Episode #1.6	04	actress	Margo Durrell
Roger Goldby	The Durrells	Episode #1.6	05	director	
Simon Nye	The Durrells	Episode #1.6	06	writer	
Gerald Durrell	The Durrells	Episode #1.6	07	writer	
James Aspinall	The Durrells	Episode #1.6	10	cinematographer	
Keeley Hawes	The Durrells	Episode #2.1	01	actress	Louisa Durrell
Josh O'Connor	The Durrells	Episode #2.1	02	actor	Lawrence Durrell
Milo Parker	The Durrells	Episode #2.1	03	actor	Gerald Durrell
Daisy Waterstone	The Durrells	Episode #2.1	04	actress	Margo Durrell
Steve Barron	The Durrells	Episode #2.1	05	director	
Simon Nye	The Durrells	Episode #2.1	06	writer	
Gerald Durrell	The Durrells	Episode #2.1	07	writer	
Keeley Hawes	The Durrells	Episode #2.2	01	actress	Louisa Durrell
Josh O'Connor	The Durrells	Episode #2.2	02	actor	Lawrence Durrell
Milo Parker	The Durrells	Episode #2.2	03	actor	Gerald Durrell
Daisy Waterstone	The Durrells	Episode #2.2	04	actress	Margo Durrell
Steve Barron	The Durrells	Episode #2.2	05	director	
Simon Nye	The Durrells	Episode #2.2	06	writer	
Gerald Durrell	The Durrells	Episode #2.2	07	writer	
Keeley Hawes	The Durrells	Episode #2.3	01	actress	Louisa Durrell
Josh O'Connor	The Durrells	Episode #2.3	02	actor	Lawrence Durrell
Milo Parker	The Durrells	Episode #2.3	03	actor	Gerald Durrell
Daisy Waterstone	The Durrells	Episode #2.3	04	actress	Margo Durrell
Steve Barron	The Durrells	Episode #2.3	05	director	
Simon Nye	The Durrells	Episode #2.3	06	writer	
Gerald Durrell	The Durrells	Episode #2.3	07	writer	
Keeley Hawes	The Durrells	Episode #2.4	01	actress	Louisa Durrell
Josh O'Connor	The Durrells	Episode #2.4	02	actor	Lawrence Durrell
Milo Parker	The Durrells	Episode #2.4	03	actor	Gerald Durrell
Daisy Waterstone	The Durrells	Episode #2.4	04	actress	Margo Durrell
Edward Hall	The Durrells	Episode #2.4	05	director	
Simon Nye	The Durrells	Episode #2.4	06	writer	
Gerald Durrell	The Durrells	Episode #2.4	07	writer	
Keeley Hawes	The Durrells	Episode #2.5	01	actress	Louisa Durrell
Josh O'Connor	The Durrells	Episode #2.5	02	actor	Lawrence Durrell
Milo Parker	The Durrells	Episode #2.5	03	actor	Gerald Durrell
Daisy Waterstone	The Durrells	Episode #2.5	04	actress	Margo Durrell
Edward Hall	The Durrells	Episode #2.5	05	director	
Simon Nye	The Durrells	Episode #2.5	06	writer	
Gerald Durrell	The Durrells	Episode #2.5	07	writer	
Keeley Hawes	The Durrells	Episode #2.6	01	actress	Louisa Durrell
Josh O'Connor	The Durrells	Episode #2.6	02	actor	Lawrence Durrell
Milo Parker	The Durrells	Episode #2.6	03	actor	Gerald Durrell
Daisy Waterstone	The Durrells	Episode #2.6	04	actress	Margo Durrell
Edward Hall	The Durrells	Episode #2.6	05	director	
Simon Nye	The Durrells	Episode #2.6	06	writer	
Gerald Durrell	The Durrells	Episode #2.6	07	writer	
Keeley Hawes	The Durrells	Episode #3.1	01	actress	Louisa Durrell
Josh O'Connor	The Durrells	Episode #3.1	02	actor	Lawrence Durrell
Milo Parker	The Durrells	Episode #3.1	03	actor	Gerald Durrell
Daisy Waterstone	The Durrells	Episode #3.1	04	actress	Margo Durrell
Roger Goldby	The Durrells	Episode #3.1	05	director	
Simon Nye	The Durrells	Episode #3.1	06	writer	
Gerald Durrell	The Durrells	Episode #3.1	07	writer	
Keeley Hawes	The Durrells	Episode #3.2	01	actress	Louisa Durrell
Josh O'Connor	The Durrells	Episode #3.2	02	actor	Lawrence Durrell
Milo Parker	The Durrells	Episode #3.2	03	actor	Gerald Durrell
Daisy Waterstone	The Durrells	Episode #3.2	04	actress	Margo Durrell
Roger Goldby	The Durrells	Episode #3.2	05	director	
Simon Nye	The Durrells	Episode #3.2	06	writer	
Gerald Durrell	The Durrells	Episode #3.2	07	writer	
Keeley Hawes	The Durrells	Episode #3.3	01	actress	Louisa Durrell
Josh O'Connor	The Durrells	Episode #3.3	02	actor	Lawrence Durrell
Milo Parker	The Durrells	Episode #3.3	03	actor	Gerald Durrell
Daisy Waterstone	The Durrells	Episode #3.3	04	actress	Margo Durrell
Roger Goldby	The Durrells	Episode #3.3	05	director	
Simon Nye	The Durrells	Episode #3.3	06	writer	
Gerald Durrell	The Durrells	Episode #3.3	07	writer	
Keeley Hawes	The Durrells	Episode #3.4	01	actress	Louisa Durrell
Josh O'Connor	The Durrells	Episode #3.4	02	actor	Lawrence Durrell
Milo Parker	The Durrells	Episode #3.4	03	actor	Gerald Durrell
Daisy Waterstone	The Durrells	Episode #3.4	04	actress	Margo Durrell
Roger Goldby	The Durrells	Episode #3.4	05	director	
Simon Nye	The Durrells	Episode #3.4	06	writer	
Gerald Durrell	The Durrells	Episode #3.4	07	writer	
Keeley Hawes	The Durrells	Episode #3.5	01	actress	Louisa Durrell
Josh O'Connor	The Durrells	Episode #3.5	02	actor	Lawrence Durrell
Milo Parker	The Durrells	Episode #3.5	03	actor	Gerald Durrell
Daisy Waterstone	The Durrells	Episode #3.5	04	actress	Margo Durrell
Niall MacCormick	The Durrells	Episode #3.5	05	director	
Simon Nye	The Durrells	Episode #3.5	06	writer	
Gerald Durrell	The Durrells	Episode #3.5	07	writer	
Keeley Hawes	The Durrells	Episode #3.6	01	actress	Louisa Durrell
Josh O'Connor	The Durrells	Episode #3.6	02	actor	Lawrence Durrell
Milo Parker	The Durrells	Episode #3.6	03	actor	Gerald Durrell
Daisy Waterstone	The Durrells	Episode #3.6	04	actress	Margo Durrell
Niall MacCormick	The Durrells	Episode #3.6	05	director	
Simon Nye	The Durrells	Episode #3.6	06	writer	
Gerald Durrell	The Durrells	Episode #3.6	07	writer	
Keeley Hawes	The Durrells	Episode #3.7	01	actress	Louisa Durrell
Josh O'Connor	The Durrells	Episode #3.7	02	actor	Lawrence Durrell
Milo Parker	The Durrells	Episode #3.7	03	actor	Gerald Durrell
Daisy Waterstone	The Durrells	Episode #3.7	04	actress	Margo Durrell
Niall MacCormick	The Durrells	Episode #3.7	05	director	
Simon Nye	The Durrells	Episode #3.7	06	writer	
Gerald Durrell	The Durrells	Episode #3.7	07	writer	
Keeley Hawes	The Durrells	Episode #3.8	01	actress	Louisa Durrell
Josh O'Connor	The Durrells	Episode #3.8	02	actor	Lawrence Durrell
Milo Parker	The Durrells	Episode #3.8	03	actor	Gerald Durrell
Daisy Waterstone	The Durrells	Episode #3.8	04	actress	Margo Durrell
Niall MacCormick	The Durrells	Episode #3.8	05	director	
Simon Nye	The Durrells	Episode #3.8	06	writer	
Gerald Durrell	The Durrells	Episode #3.8	07	writer	
Keeley Hawes	The Durrells	Episode #4.1	01	actress	Louisa Durrell
Josh O'Connor	The Durrells	Episode #4.1	02	actor	Lawrence Durrell
Milo Parker	The Durrells	Episode #4.1	03	actor	Gerald Durrell
Daisy Waterstone	The Durrells	Episode #4.1	04	actress	Margo Durrell
Roger Goldby	The Durrells	Episode #4.1	05	director	
Simon Nye	The Durrells	Episode #4.1	06	writer	
Gerald Durrell	The Durrells	Episode #4.1	07	writer	
Keeley Hawes	The Durrells	Episode #4.2	01	actress	Louisa Durrell
Josh O'Connor	The Durrells	Episode #4.2	02	actor	Lawrence Durrell
Milo Parker	The Durrells	Episode #4.2	03	actor	Gerald Durrell
Daisy Waterstone	The Durrells	Episode #4.2	04	actress	Margo Durrell
Roger Goldby	The Durrells	Episode #4.2	05	director	
Simon Nye	The Durrells	Episode #4.2	06	writer	
Gerald Durrell	The Durrells	Episode #4.2	07	writer	
Keeley Hawes	The Durrells	Episode #4.3	01	actress	Louisa Durrell
Josh O'Connor	The Durrells	Episode #4.3	02	actor	Lawrence Durrell
Milo Parker	The Durrells	Episode #4.3	03	actor	Gerald Durrell
Daisy Waterstone	The Durrells	Episode #4.3	04	actress	Margo Durrell
Roger Goldby	The Durrells	Episode #4.3	05	director	
Simon Nye	The Durrells	Episode #4.3	06	writer	
Gerald Durrell	The Durrells	Episode #4.3	07	writer	
Keeley Hawes	The Durrells	Episode #4.4	01	actress	Louisa Durrell
Josh O'Connor	The Durrells	Episode #4.4	02	actor	Lawrence Durrell
Milo Parker	The Durrells	Episode #4.4	03	actor	Gerald Durrell
Daisy Waterstone	The Durrells	Episode #4.4	04	actress	Margo Durrell
Steve Barron	The Durrells	Episode #4.4	05	director	
Simon Nye	The Durrells	Episode #4.4	06	writer	
Gerald Durrell	The Durrells	Episode #4.4	07	writer	
Keeley Hawes	The Durrells	Episode #4.5	01	actress	Louisa Durrell
Josh O'Connor	The Durrells	Episode #4.5	02	actor	Lawrence Durrell
Milo Parker	The Durrells	Episode #4.5	03	actor	Gerald Durrell
Daisy Waterstone	The Durrells	Episode #4.5	04	actress	Margo Durrell
Steve Barron	The Durrells	Episode #4.5	05	director	
Simon Nye	The Durrells	Episode #4.5	06	writer	
Gerald Durrell	The Durrells	Episode #4.5	07	writer	
Keeley Hawes	The Durrells	Episode #4.6	01	actress	Louisa Durrell
Josh O'Connor	The Durrells	Episode #4.6	02	actor	Lawrence Durrell
Milo Parker	The Durrells	Episode #4.6	03	actor	Gerald Durrell
Daisy Waterstone	The Durrells	Episode #4.6	04	actress	Margo Durrell
Steve Barron	The Durrells	Episode #4.6	05	director	
Simon Nye	The Durrells	Episode #4.6	06	writer	
Gerald Durrell	The Durrells	Episode #4.6	07	writer	
Hugh Laurie	The Night Manager		01	actor	Richard Roper
Tom Hiddleston	The Night Manager		02	actor	Jonathan Pine
Elizabeth Debicki	The Night Manager		03	actress	Jed Marshall
Olivia Colman	The Night Manager		04	actress	Angela Burr
David Farr	The Night Manager		05	writer	
Alistair Petrie	The Night Manager		06	actor	Sandy Langbourne
Michael Nardone	The Night Manager		07	actor	Frisky
Hovik Keuchkerian	The Night Manager		08	actor	Tabby
Adeel Akhtar	The Night Manager		09	actor	Rob Singhal
Tom Hollander	The Night Manager		10	actor	Lance Corkoran
Hugh Laurie	The Night Manager	Episode #1.1	01	actor	Richard Roper
Tom Hiddleston	The Night Manager	Episode #1.1	02	actor	Jonathan Pine
Nader Boussandel	The Night Manager	Episode #1.1	03	actor	Maitre D
Holly Hayes	The Night Manager	Episode #1.1	04	actress	American Woman
Susanne Bier	The Night Manager	Episode #1.1	05	director	
John le Carré	The Night Manager	Episode #1.1	06	writer	
David Farr	The Night Manager	Episode #1.1	07	writer	
Elizabeth Debicki	The Night Manager	Episode #1.2	01	actress	Jed Marshall
Nancy Baldwin	The Night Manager	Episode #1.2	02	actress	Jed's Mother
Noah Jupe	The Night Manager	Episode #1.2	03	actor	Daniel Roper
Hugh Laurie	The Night Manager	Episode #1.2	04	actor	Richard Roper
Susanne Bier	The Night Manager	Episode #1.2	05	director	
John le Carré	The Night Manager	Episode #1.2	06	writer	
David Farr	The Night Manager	Episode #1.2	07	writer	
Tábata Cerezo	The Night Manager	Episode #1.3	01	actress	Elena Apostol
Elizabeth Debicki	The Night Manager	Episode #1.3	02	actress	Jed Marshall
Hugh Laurie	The Night Manager	Episode #1.3	03	actor	Richard Roper
Antonio de la Torre	The Night Manager	Episode #1.3	04	actor	Juan Apostol
Susanne Bier	The Night Manager	Episode #1.3	05	director	
John le Carré	The Night Manager	Episode #1.3	06	writer	
David Farr	The Night Manager	Episode #1.3	07	writer	
Hugh Laurie	The Night Manager	Episode #1.4	01	actor	Richard Roper
Tom Hiddleston	The Night Manager	Episode #1.4	02	actor	Jonathan Pine
Elizabeth Debicki	The Night Manager	Episode #1.4	03	actress	Jed Marshall
Noah Jupe	The Night Manager	Episode #1.4	04	actor	Daniel Roper
Susanne Bier	The Night Manager	Episode #1.4	05	director	
John le Carré	The Night Manager	Episode #1.4	06	writer	
David Farr	The Night Manager	Episode #1.4	07	writer	
Hugh Laurie	The Night Manager	Episode #1.5	01	actor	Richard Roper
Tom Hiddleston	The Night Manager	Episode #1.5	02	actor	Jonathan Pine
Alistair Petrie	The Night Manager	Episode #1.5	03	actor	Sandy Langbourne
Hovik Keuchkerian	The Night Manager	Episode #1.5	04	actor	Tabby
Susanne Bier	The Night Manager	Episode #1.5	05	director	
John le Carré	The Night Manager	Episode #1.5	06	writer	
David Farr	The Night Manager	Episode #1.5	07	writer	
Tobias Menzies	The Night Manager	Episode #1.6	01	actor	Geoffrey Dromgoole
Jonathan Aris	The Night Manager	Episode #1.6	02	actor	Raymond Galt
Sara Stewart	The Night Manager	Episode #1.6	03	actress	Barbara Vandon
Katherine Kelly	The Night Manager	Episode #1.6	04	actress	Permanent Secretary
Susanne Bier	The Night Manager	Episode #1.6	05	director	
John le Carré	The Night Manager	Episode #1.6	06	writer	
David Farr	The Night Manager	Episode #1.6	07	writer	
