Person	Known For Titles: 1	Known For Titles: 2	Known For Titles: 3	Known For Titles: 4
Adeel Akhtar	The Dictator	Utopia	Four Lions	The Big Sick
Alexis Georgoulis	Marionetes	Eisai to tairi mou	Red Door and Lemon Tree	My Life in Ruins
Alistair Petrie	Rush	Rogue One: A Star Wars Story	Victor Frankenstein	The Bank Job
Amy Jenkins	This Life	Tube Tales	Elephant Juice	The Crown
Andrew G. Ogleby	Little Bastards	Last Letter from Your Lover	Just Drive	Kindred Spirits
Anna Savva	The Cut	Exodus: Gods and Kings	Correspondence	The Durrells in Corfu
Antonio de la Torre	The Candidate	The Last Circus	Cannibal	Marshland
Ben Daniels	The Exorcist	House of Cards	Flesh and Bone	Rogue One: A Star Wars Story
Benjamin Caron	Wallander	Tommy Cooper: Not Like That, Like This	The Crown	Sherlock
Callum Woodhouse	The Durrells in Corfu	Cold Feet	The Hoist	B&B
Charles Dance	Game of Thrones	Gosford Park	The Imitation Game	Last Action Hero
Christian Schwochow	Novemberkind	Bad Banks	Cracks in the Shell	Mitten in Deutschland: NSU
Claire Foy	First Man	The Girl in the Spider's Web	Unsane	The Crown
Colin Blyth	The Crown	The Sister	Lawrence: After Arabia	Morbius
Daisy Waterstone	Testament of Youth	And Then There Were None	The Capture	The Durrells in Corfu
David Farr	Hanna	Hanna	The Night Manager	The Ones Below
David Hancock	M.I.High	Perfect Sense	The Crown	The Eagle
Duncan Duff	Doctor Who	Hamish Macbeth	Carry on Columbus	Wild Target
Duncan Macmillan	Trigonometry	The Crown	Unseen	Lungs
Edward Hall	MI-5	Strike Back	Downton Abbey	Blithe Spirit
Edward Hemming	The Audience	Rush	The Crown
Edward Wolstenholme	The Crown	Wonder Woman	Doctors	Mr. Jones
Eileen Atkins	Robin Hood	Gosford Park	Cold Mountain	What a Girl Wants
Elizabeth Debicki	The Great Gatsby	Widows	Everest	Guardians of the Galaxy Vol. 2
Emerald Fennell	The Crown	Killing Eve	Careful How You Go	Promising Young Woman
Emma Corrin	Pennyworth	Grantchester	The Crown	Cesare
Erin Doherty	The Crown	Intelligent Design	Rebel Ridge	Call the Midwife
Finn Elliot	The Last Kingdom	The Crown	The Outcast	The Mercy
Freddie Fox	Hero	King Arthur: Legend of the Sword	The Three Musketeers	Victor Frankenstein
Gerald Durrell	Masterpiece Classic	The Durrells in Corfu	BBC2 Playhouse	Tarka the Otter
Gillian Anderson	The X-Files	The Last King of Scotland	The Fall	Bleak House
Helena Bonham Carter	The King's Speech	Les Misérables	Fight Club	Sweeney Todd: The Demon Barber of Fleet Street
Holly Hayes	1408	The Night Manager	Free Rein	Emerald City
Hovik Keuchkerian	Assassin's Creed	Scorpion in Love	El otro	The Ministry of Time
Hugh Laurie	Flight of the Phoenix	House	Tomorrowland	Stuart Little
Imelda Staunton	Shakespeare in Love	Harry Potter and the Order of the Phoenix	Vera Drake	Pride
James Aspinall	Superman III	Superman	Queens of Mystery	Wide Sargasso Sea
James Graham	Brexit	Prisoners Wives	Quiz	A Brilliant Young Mind
Jane Lapotaire	Marie Curie	Love Hurts	Piaf	Blind Justice
Jared Harris	The Curious Case of Benjamin Button	The Man from U.N.C.L.E.	The Mortal Instruments: City of Bones	Sherlock Holmes: A Game of Shadows
Jeremy Northam	Cypher	Happy, Texas	Gosford Park	Emma
Jessica Hobbs	River	Apple Tree Yard	The Split	The Crown
John le Carré	The Constant Gardener	Tinker Tailor Soldier Spy	The Night Manager	The Tailor of Panama
Jon Brittain	The Amazing World of Gumball
Jonathan Aris	The End of the F***ing World	Dracula	Sherlock	Black Mirror: Bandersnatch
Jonathan Pryce	The Wife	The Two Popes	Glengarry Glen Ross	Tomorrow Never Dies
Jonathan Wilson	River City
Josh O'Connor	Cinderella	God's Own Country	The Crown	Emma.
Julian Baring	The Crown
Julian Court	Killing Eve	Ripper Street	The Devil's Whore	Prime Suspect 7: The Final Act
Julian Jarrold	Becoming Jane	Kinky Boots	Brideshead Revisited	Appropriate Adult
Karina Beuthe Orr	Inheritance	Lunar Prospector One	Adult Material	A Perfect Man
Katherine Kelly	Cheat	Criminal: UK	Mr Selfridge	Happy Valley
Keeley Hawes	The Bank Job	High-Rise	Death at a Funeral	Tomb Raider: Underworld
Laura Deeley	This Is David Conrad	The Crown	Kiss Me First	Ozark
Lesley Manville	Topsy-Turvy	Phantom Thread	Another Year	Maleficent
Lucy Black	The Durrells in Corfu	Jericho	The Level	Wire in the Blood
Marion Bailey	Allied	Vera Drake	The Crown	Mr. Turner
Matt Smith	Doctor Who	The Crown	Morbius	Last Night in Soho
Michael Nardone	Rome	Rogue One: A Star Wars Story	The Night Manager	Child 44
Milo Parker	Mr. Holmes	Miss Peregrine's Home for Peculiar Children	Robot Overlords	The Durrells in Corfu
Nader Boussandel	Double zéro	Mr. Bean's Holiday	The Barons	Nous York
Nancy Baldwin	Mamma Mia!	Hyde Park on Hudson	London Has Fallen	Everest
Niall MacCormick	Margaret Thatcher: The Long Walk to Finchley	The Victim	Complicit	The Song of Lunch
Nick Payne	The Sense of an Ending	Wanderlust	Lolito	The Crown
Noah Jupe	Honey Boy	A Quiet Place	Wonder	Ford v Ferrari
Olivia Colman	The Favourite	The Lobster	Hot Fuzz	Tyrannosaur
Peter Morgan	The Queen	Frost/Nixon	Rush	The Last King of Scotland
Philip Martin	Mo	Prime Suspect 7: The Final Act	The Crown	Wallander
Philippa Lowthorpe	Misbehaviour	Three Girls	The Crown	The Third Day
Pip Torrens	Tomorrow Never Dies	Pride & Prejudice	The Danish Girl	Star Wars: Episode VII - The Force Awakens
Rachel Sophia-Anthony	Tom Clancy's Jack Ryan	MotherFatherSon	American Assassin	Top Boy
Robert Cavanah	Shetland	Sahara	Lara Croft Tomb Raider: The Cradle of Life	Billionaire Ransom
Roger Goldby	The Musketeers	Call the Midwife	The Durrells in Corfu	The Time of Their Lives
Samuel Donovan	The Widow	Utopia	Liar	Four Lions
Sara Stewart	Transformers: The Last Knight	Batman Begins	Mrs. Brown	Sugar Rush
Simon Nye	Hardware	Doctor Who	The Durrells in Corfu	British Men Behaving Badly
Stephen Daldry	The Hours	Billy Elliot	The Reader	Extremely Loud & Incredibly Close
Steve Barron	Coneheads	Mike Bassett: England Manager	The Durrells in Corfu	Teenage Mutant Ninja Turtles
Susanne Bier	After the Wedding	Love Is All You Need	In a Better World	Bird Box
Tobias Menzies	The Crown	Underworld: Blood Wars	Rome	Casino Royale
Tom Edge	Lovesick	The Crown	Judy	C.B. Strike
Tom Hiddleston	Thor: Ragnarok	Thor	The Avengers	Thor: The Dark World
Tom Hollander	In the Loop	Gosford Park	About Time	Pride & Prejudice
Tuncay Gunes	Morbius	No Time to Die	Augury	The Nevers
Tábata Cerezo	Love in Difficult Times	Finding Altamira	The Mallorca Files	The Night Manager
Ulric von der Esch	Crossing Lines	Arne Dahl: Dödsmässa	Beck	The Durrells in Corfu
Vanessa Kirby	The World to Come	Pieces of a Woman	The Crown	Mission: Impossible - Fallout
Victoria Hamilton	The Crown	Mansfield Park	Scoop	Victoria & Albert
Yorgos Karamihos	Ben-Hur	Like Chef, Like God	The Durrells in Corfu	Fugitive Pieces
